SITE,SITE_CODE,LATITUDE,LONGITUDE,COUNTRY,PROVINCE_DISTRICT,RFZ,BIOME,CONTEXT,TECHNIQUE,MATERIAL,SPECIES,LAB_ID,DATE,UNCERTAINTY,ARCH_PERIOD,ARCH_SUBPERIOD,SAMPLE_CONTEXT,SITE_TYPE,DELTA_13,REFCODE,NOTES
Holkrans,HLK,-26.85,27.283,South Africa,North West Province,S,Savanna Biome,Spit 5,AMS,charcoal,,Beta-284940,"270","40",LSA,,,rock shelter,,witelson2016pdl,
Holkrans,HLK,-26.85,27.283,South Africa,North West Province,S,Savanna Biome,Spit 7,AMS,charcoal,,Beta-304271,"760","40",LSA,,,rock shelter,,witelson2016pdl,
Holkrans,HLK,-26.85,27.283,South Africa,North West Province,S,Savanna Biome,Spit 5,AMS,charcoal,,Beta-304270,"900","40",LSA,,,rock shelter,,witelson2016pdl,
Holkrans,HLK,-26.85,27.283,South Africa,North West Province,S,Savanna Biome,Spit 3,AMS,charcoal,,Beta-304269,"970","40",LSA,,,rock shelter,,witelson2016pdl,
Holkrans,HLK,-26.85,27.283,South Africa,North West Province,S,Savanna Biome,Spit10,AMS,charcoal,,Beta-287473,"1080","40",LSA,,,rock shelter,,witelson2016pdl,
Holkrans,HLK,-26.85,27.283,South Africa,North West Province,S,Savanna Biome,Spit 9,AMS,charcoal,,Beta-304273,"1430","40",LSA,,,rock shelter,,witelson2016pdl,
Holkrans,HLK,-26.85,27.283,South Africa,North West Province,S,Savanna Biome,Spit 9,AMS,charcoal,,Beta-284941,"1830","40",LSA,,,rock shelter,,witelson2016pdl,
Rooikrans,RIK,-27.033,27.367,South Africa,Free State,S,Grassland Biome,"2",conventional 14C,plant remains,,Pta-5761,"100","45",LSA,Ceramic LSA,,rock shelter,,thorp1996pre,
Buffelshoek,BFH,-26.796,27.369,South Africa,North West Province,S,Savanna Biome,CD 1,conventional 14C,,,Pta-1643,"155","45",Iron Age,,,settlement,,taylor1979wst,Buispoort facies
Buffelshoek,BFH,-26.796,27.369,South Africa,North West Province,S,Savanna Biome,CD 6,conventional 14C,,,Pta-2366,"110","50",Iron Age,,,settlement,,taylor1979wst,Group III Uitkomst facies
Buffelshoek,BFH,-26.796,27.369,South Africa,North West Province,S,Savanna Biome,CD 1,conventional 14C,,,Pta-1641,"170","50",Iron Age,,,settlement,,taylor1979wst,Buispoort facies
Buffelshoek,BFH,-26.796,27.369,South Africa,North West Province,S,Savanna Biome,CD 4,conventional 14C,,,Pta-2380,"300","50",Iron Age,,,settlement,,taylor1979wst,Group I Uitkomst facies
Holkrans,HLK,-26.85,27.283,South Africa,North West Province,S,Savanna Biome,Spit 11,AMS,charcoal,,Beta-265300,"2320","50",LSA,,,rock shelter,,witelson2016pdl,
Rooikrans,RIK,-27.033,27.367,South Africa,Free State,S,Grassland Biome,"2",conventional 14C,plant remains,,Pta-5762,"100","60",LSA,Ceramic LSA,,rock shelter,,thorp1996pre,
Rooikrans,RIK,-27.033,27.367,South Africa,Free State,S,Grassland Biome,"3",AMS,charcoal,,OxA-3386,"415","65",LSA,Ceramic LSA,,rock shelter,,thorp1996pre,
Buffelshoek,BFH,-26.796,27.369,South Africa,North West Province,S,Savanna Biome,CD 2,conventional 14C,,,Pta-2168,"130","70",Iron Age,,,settlement,,taylor1979wst,Buispoort facies
Rooikrans,RIK,-27.033,27.367,South Africa,Free State,S,Grassland Biome,"4",conventional 14C,bone,,Wits-2003,"6150","100",LSA,Wilton,,rock shelter,,thorp1996pre,
Rooikrans,RIK,-27.033,27.367,South Africa,Free State,S,Grassland Biome,"3",conventional 14C,bone,,Wits-2005,"3740","280",,,,rock shelter,,thorp1996pre,
Spitzkloof A,SKFA,-28.863,17.078,South Africa,Northern Cape,W,Succulent Karoo Biome,Nick,AMS,,,UBA-17609,"14350","10",LSA,,,rock shelter,,"dewar2016pln; dewar2017emd",
Jakkalsberg O,JKKO,-28.182,16.883,South Africa,Northern Cape,W,Azonal Vegetation,Layer 2 (70 cm),conventional 14C,,,Pta-8492,"310","15",,,,open site,-21.4,gray2009cnm,succulent karoo
Bloeddrift 23,BLD23,-28.355,16.807,South Africa,Northern Cape,W,Succulent Karoo Biome,Hearth 3B,conventional 14C,charcoal,,Pta-7492,"355","15",LSA,Ceramic LSA,,,,smith2001spc,
Spitzkloof B,SKFB,-28.863,17.078,South Africa,Northern Cape,W,Succulent Karoo Biome,Feature 1,AMS,,,D-AMS-005181,"718","23",,,,rock shelter,,dewar2014rse,
Jakkalsberg A,JKKA,-28.181,16.888,South Africa,Northern Cape,W,Azonal Vegetation,Hearth 2,conventional 14C,,,Pta-6100,"1300","25",LSA,Ceramic LSA,,open site,-23.5,webley1997jcm,succulent karoo
Jakkalsberg B,JKKB,-28.181,16.888,South Africa,Northern Cape,W,Azonal Vegetation,K11 Hearth 1,conventional 14C,,,Pta-6122,"1420","25",LSA,Ceramic LSA,,open site,-23.8,webley1997jcm,succulent karoo
Jakkalsberg K,JKKK,-28.182,16.882,South Africa,Northern Cape,W,Azonal Vegetation,K60,AMS,Bone ,Raphicerus campestris,OxA-24528,"358","26",,,,open site,-13.7,orton2012han,succulent karoo
Spitzkloof B,SKFB,-28.863,17.078,South Africa,Northern Cape,W,Succulent Karoo Biome,Feature 6,AMS,,,D-AMS-005182,"1473","27",,,,rock shelter,,dewar2014rse,
Bloeddrift 32,BLD32,-28.355,16.807,South Africa,Northern Cape,W,Succulent Karoo Biome,Lens in Column 1 (102 cm),conventional 14C,charcoal,,Pta-8497,"350","30",LSA,Ceramic LSA,,,-24.4,gray2009cnm,
Bloeddrift 32,BLD32,-28.355,16.807,South Africa,Northern Cape,W,Succulent Karoo Biome,Lens 1 (72 cm),conventional 14C,charcoal,,Pta-8498,"370","35",LSA,Ceramic LSA,,,-24.8,gray2009cnm,
Jakkalsberg N,JKKN,-28.181,16.885,South Africa,Northern Cape,W,Azonal Vegetation,X256,AMS,eggshell,Struthio camelus,GX-32754,"4860","40",LSA,Wilton,,open site,,orton2010stb,succulent karoo
Jakkalsberg N,JKKN,-28.181,16.885,South Africa,Northern Cape,W,Azonal Vegetation,J259,AMS,marine shell,,GX-32755,"4960","40",LSA,Wilton,,open site,,orton2010stb,succulent karoo
/hei-/khomas,HKO,-28.583,17.083,South Africa,Northern Cape,W,Succulent Karoo Biome,"Area 2, P32, LayerSLS2, 16 cm depth",conventional 14C,charcoal,,Pta-5452,"330","45",LSA,Ceramic LSA,,open site,-19.7,webley1992hap,Also called /Ai tomas
Henkries,HEN,-28.953,18.103,South Africa,Northern Cape,Y,Desert Biome,Human burialSAM 1269,conventional 14C,bone,Homo sapiens,Pta-1849,"200","50",,,,Human burial,,morris1992scs,
Jakkalsberg O,JKKO,-28.182,16.883,South Africa,Northern Cape,W,Azonal Vegetation,Ash Lens 2,conventional 14C,,,Pta-8493,"303","50",,,,open site,-26.1,gray2009cnm,succulent karoo
/hei-/khomas,HKO,-28.583,17.083,South Africa,Northern Cape,W,Succulent Karoo Biome,"Area 1, N33, Layer BL, 5 cm depth",conventional 14C,charcoal,,Pta-5458,"420","50",LSA,Ceramic LSA,,open site,-22.3,webley1992hap,Also called /Ai tomas
Jakkalsberg O,JKKO,-28.182,16.883,South Africa,Northern Cape,W,Azonal Vegetation,Layer 4 (120 cm),conventional 14C,,,Pta-8500,"720","50",,,,open site,-25.3,gray2009cnm,succulent karoo
Jakkalsberg A,JKKA,-28.181,16.888,South Africa,Northern Cape,W,Azonal Vegetation,Lens A (20 cm),conventional 14C,,,Pta-8494,"1250","50",,,,open site,-23.5,gray2009cnm,succulent karoo
Jakkalsberg O,JKKO,-28.182,16.883,South Africa,Northern Cape,W,Azonal Vegetation,Ash Lens 3,conventional 14C,,,Pta-8495,"1340","50",,,,open site,-25.5,gray2009cnm,succulent karoo
Jakkalsberg B,JKKB,-28.181,16.888,South Africa,Northern Cape,W,Azonal Vegetation,J13/14 Hearth 2,conventional 14C,,,Pta-6101,"1380","50",LSA,Ceramic LSA,,open site,-23.3,webley1997jcm,succulent karoo
Jakkalsberg N,JKKN,-28.181,16.885,South Africa,Northern Cape,W,Azonal Vegetation,,conventional 14C,,,Pta-8496 ,"4500","50",LSA,Wilton,,open site,,orton2010stb,succulent karoo
Spitzkloof A,SKFA,-28.863,17.078,South Africa,Northern Cape,W,Succulent Karoo Biome,Nadja,AMS,,,UBA-17611,"15200","50",LSA,,,rock shelter,,"dewar2016pln; dewar2017emd",
/hei-/khomas,HKO,-28.583,17.083,South Africa,Northern Cape,W,Succulent Karoo Biome,"Area 3, Y21, Layer Unit 2, 7 cm depth",conventional 14C,charcoal,,Pta-5444,"106","60",LSA,Ceramic LSA,,open site,-23.2,webley1992hap,Also called /Ai tomas
Jakkalsberg A,JKKA,-28.181,16.888,South Africa,Northern Cape,W,Azonal Vegetation,Hearth 1,conventional 14C,,,Pta-5958,"1330","60",LSA,Ceramic LSA,,open site,-23.2,webley1997jcm,succulent karoo
Die Toon,DTN,-28.311,17.283,South Africa,Northern Cape,W,Succulent Karoo Biome,"Unit 3 16-18 cm, A5 ThF",conventional 14C,,,Pta-5963,"3110","60",LSA,,,,-12.5,webley1993hrn,
Die Toon,DTN,-28.311,17.283,South Africa,Northern Cape,W,Succulent Karoo Biome,"Unit 2, hearth,Square B6, PDA",conventional 14C,,,Pta-5960,"3840","60",LSA,,,,-23.6,webley1993hrn,
Spitzkloof A,SKFA,-28.863,17.078,South Africa,Northern Cape,W,Succulent Karoo Biome,Jaird,AMS,,,UBA-17612,"16250","60",LSA,,,rock shelter,,"dewar2016pln; dewar2017emd",
Spitzkloof A,SKFA,-28.863,17.078,South Africa,Northern Cape,W,Succulent Karoo Biome,Dave,AMS,,,UBA-17613,"19550","60",,,,rock shelter,,"dewar2016pln; dewar2017emd",
Spitzkloof A,SKFA,-28.863,17.078,South Africa,Northern Cape,W,Succulent Karoo Biome,Julie,AMS,,,UBA-17615,"19550","60",,,,rock shelter,,"dewar2016pln; dewar2017emd",
Jakkalsberg L,JKKL,-28.181,16.887,South Africa,Northern Cape,W,Azonal Vegetation,F16,conventional 14C,charcoal,,GX-32065,"3330","70",LSA,Final LSA,,open site,-24.6,orton2010stb,succulent karoo
Spitzkloof A,SKFA,-28.863,17.078,South Africa,Northern Cape,W,Succulent Karoo Biome,Nick,AMS,,,UBA-17610,"14400","70",LSA,,,rock shelter,,"dewar2016pln; dewar2017emd",
Jakkalsberg M,JKKM,-28.181,16.887,South Africa,Northern Cape,W,Azonal Vegetation,"L32, L33, M33",conventional 14C,eggshell,Struthio camelus,GX-32760,"1740","75",,,,open site,-6.1,orton2010stb,succulent karoo
/hei-/khomas,HKO,-28.583,17.083,South Africa,Northern Cape,W,Succulent Karoo Biome,"Area 3, Y21, Layer LBS3, 18 cm depth",conventional 14C,charred bone,,Pta-5530,"1980","80",LSA,Ceramic LSA,,open site,-19.7,webley1992hap,Also called /Ai tomas
Spitzkloof A,SKFA,-28.863,17.078,South Africa,Northern Cape,W,Succulent Karoo Biome,Mark,AMS,,,UBA-17614,"19750","80",,,,rock shelter,,"dewar2016pln; dewar2017emd",
Jakkalsberg K,JKKK,-28.182,16.882,South Africa,Northern Cape,W,Azonal Vegetation,Alongside Hearth 1,AMS,charcoal,,GX-32761,"660","100",,,,open site,-24.4,orton2010stb,succulent karoo
Spitzkloof A,SKFA,-28.863,17.078,South Africa,Northern Cape,W,Succulent Karoo Biome,Brian,AMS,,,UBA-17617,"52150","800",,,,rock shelter,,"dewar2016pln; dewar2017emd",
Spitzkloof A,SKFA,-28.863,17.078,South Africa,Northern Cape,W,Succulent Karoo Biome,Brian,AMS,,,UBA-17618,"51550","850",,,,rock shelter,,"dewar2016pln; dewar2017emd",
Boegoeberg 1,BGG1,-28.768,16.577,South Africa,Northern Cape,W,Succulent Karoo Biome,Unknown,conventional 14C,eggshell,Struthio camelus,Pta-6956,"44200","1200",not archaeological,,,rock shelter,-7.2,klein1999phb,hyaena den
Maqonqo Shelter,MQQ,-28.344,30.424,South Africa,Kwazulu-Natal,S,Grassland Biome,"4",conventional 14C,charcoal,,Pta-5900 ,"4300","20",LSA,Wilton,,rock shelter,,mazel1996mse,
Maqonqo Shelter,MQQ,-28.344,30.424,South Africa,Kwazulu-Natal,S,Grassland Biome,"3",conventional 14C,charcoal,,Pta-6245 ,"4080","25",LSA,Wilton,,rock shelter,,mazel1996mse,
Maqonqo Shelter,MQQ,-28.344,30.424,South Africa,Kwazulu-Natal,S,Grassland Biome,"2",conventional 14C,charcoal,,Pta-6244 ,"3560","60",LSA,Wilton,,rock shelter,,mazel1996mse,
Sikhanyisweni,SIK,-28.467,30.383,South Africa,Kwazulu-Natal,S,Grassland Biome,layer 2 ,conventional 14C,charcoal,,Pta-3764,"3850","60",LSA,,,rock shelter,,mazel1988ssr,
Maqonqo Shelter,MQQ,-28.344,30.424,South Africa,Kwazulu-Natal,S,Grassland Biome,"6",conventional 14C,charcoal,,Pta-6256 ,"4140","60",LSA,Wilton,,rock shelter,,mazel1996mse,
Maqonqo Shelter,MQQ,-28.344,30.424,South Africa,Kwazulu-Natal,S,Grassland Biome,"7",conventional 14C,charcoal,,Pta-5898 ,"4790","60",LSA,Wilton,,rock shelter,,mazel1996mse,
Maqonqo Shelter,MQQ,-28.344,30.424,South Africa,Kwazulu-Natal,S,Grassland Biome,"4",conventional 14C,charcoal,,Pta-6251 ,"4640","70",LSA,Wilton,,rock shelter,,mazel1996mse,
Maqonqo Shelter,MQQ,-28.344,30.424,South Africa,Kwazulu-Natal,S,Grassland Biome,"5",conventional 14C,charcoal,,Pta-6255 ,"4960","70",LSA,Wilton,,rock shelter,,mazel1996mse,
Maqonqo Shelter,MQQ,-28.344,30.424,South Africa,Kwazulu-Natal,S,Grassland Biome,"8",conventional 14C,charcoal,,Pta-6253 ,"5680","70",LSA,Wilton,,rock shelter,,mazel1996mse,
Maqonqo Shelter,MQQ,-28.344,30.424,South Africa,Kwazulu-Natal,S,Grassland Biome,"11",conventional 14C,charcoal,,Pta-6258 ,"6300","80",LSA,Wilton,,rock shelter,,mazel1996mse,
Maqonqo Shelter,MQQ,-28.344,30.424,South Africa,Kwazulu-Natal,S,Grassland Biome,encrustation below painting,AMS,other,,OZD-453,"3720","100",LSA,,,rock art,,mazel2003dpu,encrustation below painting
Sikhanyisweni,SIK,-28.467,30.383,South Africa,Kwazulu-Natal,S,Grassland Biome,layer 4 ,conventional 14C,charcoal,,Pta-3782,"9700","100",LSA,,,rock shelter,,mazel1988ssr,
Sikhanyisweni,SIK,-28.467,30.383,South Africa,Kwazulu-Natal,S,Grassland Biome,layer 6,conventional 14C,charcoal,,Pta-3780,"10000","100",LSA,,,rock shelter,,mazel1988ssr,
Maqonqo Shelter,MQQ,-28.344,30.424,South Africa,Kwazulu-Natal,S,Grassland Biome,"14",conventional 14C,charcoal,,Pta-6260 ,"7460","140",LSA,Wilton,,rock shelter,,mazel1996mse,
Maqonqo Shelter,MQQ,-28.344,30.424,South Africa,Kwazulu-Natal,S,Grassland Biome,"13",conventional 14C,charcoal,,Pta-6259,"8670","140",LSA,Wilton,,rock shelter,,mazel1996mse,
Abrahamsdam,ABH,-28.508,20.61,South Africa,Northern Cape,S,Savanna Biome,Human burial NMB 1405,conventional 14C,bone,Homo sapiens,Pta-2905,"360","50",,,,Human burial,,morris1992scs,
Melkboom 1,MLB1,-29.028,21.014,South Africa,Northern Cape,S,Nama-Karoo Biome,Surface,conventional 14C,,,Pta-4496,"530","45",LSA,Ceramic LSA,,open site,,beaumont1995bea,Doornfontein
Melkboom 1,MLB1,-29.028,21.014,South Africa,Northern Cape,S,Nama-Karoo Biome,Spit 1,conventional 14C,,,Pta-9514,"410","60",LSA,Ceramic LSA,,open site,,lombard2008bbf,
"Waterval West 3, Jacobsdal",WVW3,-29.3,24.75,South Africa,Free State,S,Nama-Karoo Biome,,conventional 14C,eggshell,Struthio camelus,Pta-3109,"350","45",,,,,,humphreys2009rr,Type R
Khartoum near Jacobsdal,KTM,-29.267,24.75,South Africa,Free State,S,Azonal Vegetation,,conventional 14C,,,Pta-717,"170","50",Iron Age,,,settlement,,humphreys1973rec,"Type R, Grassland Vegetation"
Khartoum near Jacobsdal,KTM,-29.267,24.75,South Africa,Free State,S,Azonal Vegetation,,conventional 14C,,,Pta-3093,"570","60",Iron Age,,,settlement,,humphreys2009rr,"Type R, Grassland Vegetation"
Suurbergspruit nr Venterstad,SBS,-30.75,25.793,South Africa,Eastern Cape,S,Nama-Karoo Biome,Human burial UP 9,conventional 14C,bone,Homo sapiens,Pta-5273,"100","40",,,,Human burial,,morris1992scs,
Blydefontein,BLY,-31.133,25.05,South Africa,Northern Cape,S,Grassland Biome,HG/CAU2,AMS,bone,,D-AMS-1227,"556","24",LSA,,,rock shelter,,"bousman2005cls; bousman2016qed",Smithfield
Blydefontein,BLY,-31.133,25.05,South Africa,Northern Cape,S,Grassland Biome,CPB/CAU2,AMS,bone,,OxA-27366,"1097","24",LSA,Ceramic LSA,,rock shelter,-18.3,"bousman2005cls; bousman2016qed",Ceramic Wilton
Blydefontein,BLY,-31.133,25.05,South Africa,Northern Cape,S,Grassland Biome,GAC/CAU3,AMS,bone,,OxA-27365,"2791","25",LSA,Wilton,,rock shelter,-18.6,"bousman2005cls; bousman2016qed",Developed Wilton
Blydefontein,BLY,-31.133,25.05,South Africa,Northern Cape,S,Grassland Biome,HG/CAU2,AMS,bone,,D-AMS-1228,"1238","28",LSA,Ceramic LSA,,rock shelter,,"bousman2005cls; bousman2016qed",Ceramic Wilton
Blydefontein,BLY,-31.133,25.05,South Africa,Northern Cape,S,Grassland Biome,HG/CAU2,AMS,bone,,D-AMS-1230,"758","29",LSA,,,rock shelter,,"bousman2005cls; bousman2016qed",Smithfield
Blydefontein,BLY,-31.133,25.05,South Africa,Northern Cape,S,Grassland Biome,HG/CAU2,AMS,bone,,D-AMS-1229,"819","30",LSA,,,rock shelter,,"bousman2005cls; bousman2016qed",Smithfield
Blydefontein,BLY,-31.133,25.05,South Africa,Northern Cape,S,Grassland Biome,HG/CAU2,conventional 14C,charcoal,,SMU-1850,"1305","31",LSA,Ceramic LSA,,rock shelter,,"bousman2005cls; bousman2016qed",Ceramic Wilton
Blydefontein,BLY,-31.133,25.05,South Africa,Northern Cape,S,Grassland Biome,GAC/CAU3,AMS,bone,,D-AMS-1231,"2728","32",LSA,Wilton,,rock shelter,,"bousman2005cls; bousman2016qed",Developed Wilton
Blydefontein,BLY,-31.133,25.05,South Africa,Northern Cape,S,Grassland Biome,GAC/CAU4,conventional 14C,charcoal,,SMU-1849,"3135","33",LSA,Wilton,,rock shelter,,"bousman2005cls; bousman2016qed",Developed Wilton
Blydefontein,BLY,-31.133,25.05,South Africa,Northern Cape,S,Grassland Biome,GAC/CAU3,AMS,plant remains,,GrA-15193,"785","50",LSA,Wilton,,rock shelter,,"bousman2005cls; bousman2016qed","Developed Wilton; considered incorrect; fibre temper"
Blydefontein,BLY,-31.133,25.05,South Africa,Northern Cape,S,Grassland Biome,GAC/CAU4,AMS,plant remains,,GrA-15194,"1025","50",LSA,Wilton,,rock shelter,,"bousman2005cls; bousman2016qed","Developed Wilton; considered incorrect; fibre temper"
Blydefontein,BLY,-31.133,25.05,South Africa,Northern Cape,S,Grassland Biome,HG/CAU2,AMS,plant remains,,GrA-15195,"1505","50",LSA,Ceramic LSA,,rock shelter,,"bousman2005cls; bousman2016qed","Ceramic Wilton; fibre temper"
Blydefontein,BLY,-31.133,25.05,South Africa,Northern Cape,S,Grassland Biome,GAC/CAU3,AMS,plant remains,,GrA-15192,"1810","50",LSA,Ceramic LSA,,rock shelter,,"bousman2005cls; bousman2016qed","Ceramic Wilton; fibre temper"
Blydefontein,BLY,-31.133,25.05,South Africa,Northern Cape,S,Grassland Biome,TG-CAC/CAU6,conventional 14C,charcoal,,SMU-1851,"4066","55",LSA,Wilton,,rock shelter,,"bousman2005cls; bousman2016qed",Developed Wilton
Meerkat Shelter,MKS,-31.133,25.05,South Africa,Northern Cape,S,Grassland Biome,GAC B3(7),conventional 14C,charcoal,,SMU-1898,"1102","62",,,,rock shelter,,bousman1991hpl,
Meerkat Shelter,MKS,-31.133,25.05,South Africa,Northern Cape,S,Nama-Karoo Biome,GAC B2(5),conventional 14C,charcoal,,SMU-1899,"979","70",,,,rock shelter,,bousman1991hpl,
Blydefontein,BLY,-31.133,25.05,South Africa,Northern Cape,S,Grassland Biome,Level 6,conventional 14C,charcoal,,SR-142,"3090","100",LSA,Wilton,,rock shelter,,"bousman2005cls; bousman2016qed",Developed Wilton
