"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"basemaps","basemaps","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.0.7",NA,"R (>= 3.5.0)","sf, slippymath, httr, curl, terra, stars, pbapply, magick,
utils, grDevices, methods",NA,"raster, ggplot2, png, mapview, mapedit, testthat, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.3"
"BayesFactor","BayesFactor","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.9.12-4.7",NA,"R (>= 3.2.0), coda, Matrix (>= 1.1-1)","pbapply, mvtnorm, stringr, utils, graphics, MatrixModels, Rcpp
(>= 0.11.2), methods, hypergeo","Rcpp (>= 0.11.2), RcppEigen (>= 0.3.2.2.0)","doMC, foreach, testthat, knitr, markdown, rmarkdown, arm,
lme4, xtable, languageR",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.3"
"bayestestR","bayestestR","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.14.0",NA,"R (>= 3.6)","insight (>= 0.20.1), datawizard (>= 0.10.0), graphics,
methods, stats, utils",NA,"BayesFactor (>= 0.9.12-4.4), bayesQR, bayesplot, betareg, BH,
blavaan, bridgesampling, brms, curl, effectsize, emmeans,
gamm4, ggdist, ggplot2, glmmTMB, httr, httr2, KernSmooth,
knitr, lavaan, lme4, logspline (>= 2.1.21), MASS, mclust,
mediation, modelbased, ordbetareg, parameters, patchwork,
performance, quadprog, posterior, RcppEigen, rmarkdown, rstan,
rstanarm, see (>= 0.8.5), testthat, tweedie",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.3"
"BH","BH","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.84.0-0",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.3.2"
"billboard","billboard","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1.0",NA,"R (>= 2.10)","tibble",NA,"dplyr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"bit","bit","C:/Users/bdav_/AppData/Local/R/win-library/4.3","4.0.5",NA,"R (>= 2.9.2)",NA,NA,"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"bit64","bit64","C:/Users/bdav_/AppData/Local/R/win-library/4.3","4.0.5",NA,"R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"bitops","bitops","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0-8",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"blob","blob","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.2.4",NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"bookdown","bookdown","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.40",NA,"R (>= 3.5.0)","htmltools (>= 0.3.6), knitr (>= 1.38), rmarkdown (>= 2.14),
jquerylib, xfun (>= 0.39), tinytex (>= 0.12), yaml (>= 2.1.19)",NA,"bslib (>= 0.2.4), downlit (>= 0.4.0), htmlwidgets, jsonlite,
rstudioapi, miniUI, rsconnect (>= 0.4.3), servr (>= 0.13),
shiny, tibble, testit (>= 0.9), tufte, xml2, webshot, testthat
(>= 3.1.0), withr (>= 2.3.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.3"
"boot","boot","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.3-31","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","4.3.3"
"brew","brew","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0-10",NA,NA,NA,NA,"testthat (>= 3.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.3"
"brio","brio","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1.5",NA,"R (>= 3.6)",NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"broom","broom","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.0.6",NA,"R (>= 3.5)","backports, dplyr (>= 1.0.0), generics (>= 0.0.2), glue,
lifecycle, purrr, rlang, stringr, tibble (>= 3.0.0), tidyr (>=
1.0.0)",NA,"AER, AUC, bbmle, betareg, biglm, binGroup, boot, btergm (>=
1.10.6), car, carData, caret, cluster, cmprsk, coda, covr, drc,
e1071, emmeans, epiR, ergm (>= 3.10.4), fixest (>= 0.9.0), gam
(>= 1.15), gee, geepack, ggplot2, glmnet, glmnetUtils, gmm,
Hmisc, irlba, interp, joineRML, Kendall, knitr, ks, Lahman,
lavaan, leaps, lfe, lm.beta, lme4, lmodel2, lmtest (>= 0.9.38),
lsmeans, maps, MASS, mclust, mediation, metafor, mfx, mgcv,
mlogit, modeldata, modeltests (>= 0.1.6), muhaz, multcomp,
network, nnet, orcutt (>= 2.2), ordinal, plm, poLCA, psych,
quantreg, rmarkdown, robust, robustbase, rsample, sandwich,
spdep (>= 1.1), spatialreg, speedglm, spelling, survey,
survival (>= 3.6-4), systemfit, testthat (>= 2.1.0), tseries,
vars, zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"bslib","bslib","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.8.0",NA,"R (>= 2.10)","base64enc, cachem, fastmap (>= 1.1.1), grDevices, htmltools
(>= 0.5.8), jquerylib (>= 0.1.3), jsonlite, lifecycle, memoise
(>= 2.0.1), mime, rlang, sass (>= 0.4.9)",NA,"bsicons, curl, fontawesome, future, ggplot2, knitr, magrittr,
rappdirs, rmarkdown (>= 2.7), shiny (> 1.8.1), testthat,
thematic, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"cachem","cachem","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1.0",NA,NA,"rlang, fastmap (>= 1.2.0)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"callr","callr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.7.6",NA,"R (>= 3.4)","processx (>= 3.6.1), R6, utils",NA,"asciicast (>= 2.3.1), cli (>= 1.1.0), mockery, ps, rprojroot,
spelling, testthat (>= 3.2.0), withr (>= 2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"car","car","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.1-2",NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, lme4 (>= 1.1-27.1), nlme,
scales",NA,"alr4, boot, coxme, effects, knitr, leaps, lmtest, Matrix,
MatrixModels, mvtnorm, rgl (>= 0.111.3), rio, sandwich,
SparseM, survival, survey",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"carData","carData","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.0-5",NA,"R (>= 3.5.0)",NA,NA,"car (>= 3.0-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"caret","caret","C:/Users/bdav_/AppData/Local/R/win-library/4.3","6.0-94",NA,"ggplot2, lattice (>= 0.20), R (>= 3.2.0)","e1071, foreach, grDevices, methods, ModelMetrics (>= 1.2.2.2),
nlme, plyr, pROC, recipes (>= 0.1.10), reshape2, stats, stats4,
utils, withr (>= 2.0.0)",NA,"BradleyTerry2, covr, Cubist, dplyr, earth (>= 2.2-3),
ellipse, fastICA, gam (>= 1.15), ipred, kernlab, klaR, knitr,
MASS, Matrix, mda, mgcv, mlbench, MLmetrics, nnet, pamr, party
(>= 0.9-99992), pls, proxy, randomForest, RANN, rmarkdown,
rpart, spls, subselect, superpc, testthat (>= 0.9.1), themis
(>= 0.1.3)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"cellranger","cellranger","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"ceramic","ceramic","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.9.5",NA,"R (>= 3.5.0), terra","curl, dplyr, fs (>= 1.3.0), glue, graphics, purrr, rappdirs,
rlang, sp, slippymath (>= 0.3.0), stats, tibble, utils,
crsmeta, vapour, stringr, wk",NA,"covr, spelling, testthat (>= 3.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.3"
"CGPfunctions","CGPfunctions","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.6.3",NA,"R (>= 3.6.0)","BayesFactor, DescTools (>= 0.99.32), dplyr, forcats, ggmosaic,
ggplot2 (>= 3.3.0), ggrepel, methods, paletteer, partykit,
purrr, rlang, scales (>= 1.1.0), sjstats (>= 0.17.9), stats,
stringr, tidyr",NA,"BSDA, ggthemes, hrbrthemes, janitor, knitr, lsr, magrittr,
productplots, pwr, rmarkdown, stringi, tibble, testthat,
tidyselect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.2"
"checkmate","checkmate","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.3.2",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils",NA,"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
3.0.4), tinytest (>= 1.1.0), tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"cherryblossom","cherryblossom","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1.0",NA,"R (>= 2.10)",NA,NA,"ggplot2, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"chirps","chirps","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.1.4",NA,"R (>= 3.5.0), methods","httr, jsonlite, sf, stats, terra (>= 1.2-10)",NA,"climatrends, knitr, markdown, rmarkdown, testthat (>= 2.1.0),
vcr (>= 0.5)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"chron","chron","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.3-61",NA,"R (>= 2.12.0)","graphics, stats",NA,"scales, ggplot2","zoo","GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"CircStats","CircStats","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.2-6",NA,"MASS, boot",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.3.1"
"clam","clam","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.5.0",NA,"rintcal (>= 0.4.1)","grDevices, graphics, stats, utils",NA,"knitr, rmarkdown, utf8",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"class","class","C:/Users/bdav_/AppData/Local/R/win-library/4.3","7.3-22","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.1"
"classInt","classInt","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.4-10",NA,"R (>= 2.2)","grDevices, stats, graphics, e1071, class, KernSmooth",NA,"spData (>= 0.2.6.2), units, knitr, rmarkdown, tinytest",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.1"
"cli","cli","C:/Users/bdav_/AppData/Local/R/win-library/4.3","3.6.1",NA,"R (>= 3.4)","utils",NA,"callr, covr, crayon, digest, glue (>= 1.6.0), grDevices,
htmltools, htmlwidgets, knitr, methods, mockery, processx, ps
(>= 1.3.4.9000), rlang (>= 1.0.2.9003), rmarkdown, rprojroot,
rstudioapi, testthat, tibble, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.1"
"clipr","clipr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.8.0",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"clock","clock","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.7.1",NA,"R (>= 3.6.0)","cli (>= 3.6.1), lifecycle (>= 1.0.3), rlang (>= 1.1.0), tzdb
(>= 0.4.0), vctrs (>= 0.6.1)","cpp11 (>= 0.4.3), tzdb (>= 0.4.0)","covr, knitr, magrittr, pillar, rmarkdown, slider (>= 0.3.0),
testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"cluster","cluster","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.1.6","recommended","R (>= 3.5.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix","mvoutlier, fpc, ellipse, sfsmisc","GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"coda","coda","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.19-4.1",NA,"R (>= 2.14.0)","lattice",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.3"
"codetools","codetools","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.2-20","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.3.3"
"coin","coin","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.4-3",NA,"R (>= 3.6.0), survival","methods, parallel, stats, stats4, utils, libcoin (>= 1.0-9),
matrixStats (>= 0.54.0), modeltools (>= 0.2-9), mvtnorm (>=
1.0-5), multcomp","libcoin (>= 1.0-9)","xtable, e1071, vcd, TH.data (>= 1.0-7)",NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.3"
"colorspace","colorspace","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.1-1",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"colourpicker","colourpicker","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.3.0",NA,"R (>= 3.1.0)","ggplot2, htmltools, htmlwidgets (>= 0.7), jsonlite, miniUI (>=
0.1.1), shiny (>= 0.11.1), shinyjs (>= 2.0.0), utils",NA,"knitr (>= 1.7), rmarkdown, rstudioapi (>= 0.5),
shinydisconnect",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"commonmark","commonmark","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.9.1",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"CompQuadForm","CompQuadForm","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.4.3",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.0"
"conflicted","conflicted","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.2.0",NA,"R (>= 3.2)","cli (>= 3.4.0), memoise, rlang (>= 1.0.0)",NA,"callr, covr, dplyr, Matrix, methods, pkgload, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"contfrac","contfrac","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1-12",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.3.1"
"corrplot","corrplot","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.94",NA,NA,NA,NA,"seriation, knitr, RColorBrewer, rmarkdown, magrittr,
prettydoc, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"countrycode","countrycode","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.6.0",NA,"R (>= 2.10)",NA,NA,"altdoc, eurostat, testthat, tibble, ISOcodes, utf8",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.3"
"cowplot","cowplot","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1.3",NA,"R (>= 3.5.0)","ggplot2 (>= 3.4.0), grid, gtable, grDevices, methods, rlang,
scales",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,"GPL-2",NA,NA,NA,NA,"no","4.3.3"
"cpp11","cpp11","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.5.0",NA,"R (>= 3.6.0)",NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat (>= 3.2.0), tibble, utils, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"crayon","crayon","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.5.3",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"credentials","credentials","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.0.1",NA,NA,"openssl (>= 1.3), sys (>= 2.1), curl, jsonlite, askpass",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"crosstalk","crosstalk","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.2.1",NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",NA,"shiny, ggplot2, testthat (>= 2.1.0), sass, bslib",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"crsmeta","crsmeta","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.3.0",NA,"R (>= 3.5.0)","methods",NA,"testthat (>= 2.1.0), spelling",NA,"GPL-3",NA,NA,NA,NA,"no","4.3.1"
"crul","crul","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.5.0",NA,NA,"curl (>= 3.3), R6 (>= 2.2.0), urltools (>= 1.6.0), httpcode
(>= 0.2.0), jsonlite, mime",NA,"testthat, roxygen2 (>= 7.1.1), fauxpas (>= 0.1.0), webmockr
(>= 0.1.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"curl","curl","C:/Users/bdav_/AppData/Local/R/win-library/4.3","5.2.2",NA,"R (>= 3.0.0)",NA,NA,"spelling, testthat (>= 1.0.0), knitr, jsonlite, later,
rmarkdown, httpuv (>= 1.4.4), webutils",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"data.table","data.table","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.16.0",NA,"R (>= 3.3.0)","methods",NA,"bit64 (>= 4.0.0), bit (>= 4.0.4), R.utils, xts, zoo (>=
1.8-1), yaml, knitr, markdown",NA,"MPL-2.0 | file LICENSE",NA,NA,NA,NA,"yes","4.3.3"
"datawizard","datawizard","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.12.2",NA,"R (>= 3.6)","insight (>= 0.20.1), stats, utils",NA,"bayestestR, boot, brms, curl, data.table, dplyr (>= 1.1),
effectsize, emmeans, gamm4, ggplot2 (>= 3.5.0), gt, haven,
httr, knitr, lme4, mediation, modelbased, parameters (>=
0.21.7), poorman (>= 0.2.7), psych, readxl, readr, rio,
rmarkdown, rstanarm, see, testthat (>= 3.2.1), tibble, tidyr,
withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"DBI","DBI","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.2.3",NA,"methods, R (>= 3.0.0)",NA,NA,"arrow, blob, covr, DBItest, dbplyr, downlit, dplyr, glue,
hms, knitr, magrittr, nanoarrow (>= 0.3.0.1), RMariaDB,
rmarkdown, rprojroot, RSQLite (>= 1.1-2), testthat (>= 3.0.0),
vctrs, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.3.3"
"dbplyr","dbplyr","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.5.0",NA,"R (>= 3.6)","blob (>= 1.2.0), cli (>= 3.6.1), DBI (>= 1.1.3), dplyr (>=
1.1.2), glue (>= 1.6.2), lifecycle (>= 1.0.3), magrittr,
methods, pillar (>= 1.9.0), purrr (>= 1.0.1), R6 (>= 2.2.2),
rlang (>= 1.1.1), tibble (>= 3.2.1), tidyr (>= 1.3.0),
tidyselect (>= 1.2.1), utils, vctrs (>= 0.6.3), withr (>=
2.5.0)",NA,"bit64, covr, knitr, Lahman, nycflights13, odbc (>= 1.4.2),
RMariaDB (>= 1.2.2), rmarkdown, RPostgres (>= 1.4.5),
RPostgreSQL, RSQLite (>= 2.3.1), testthat (>= 3.1.10)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"deldir","deldir","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.0-4",NA,"R (>= 3.5.0)","graphics, grDevices",NA,"polyclip",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"DEoptimR","DEoptimR","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.1-3",NA,NA,"stats",NA,NA,"robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","4.3.1"
"Deriv","Deriv","C:/Users/bdav_/AppData/Local/R/win-library/4.3","4.1.3",NA,NA,"methods",NA,"testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.3.3"
"desc","desc","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.4.3",NA,"R (>= 3.4)","cli, R6, utils",NA,"callr, covr, gh, spelling, testthat, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.3"
"DescTools","DescTools","C:/Users/bdav_/AppData/Local/R/win-library/4.3","0.99.56",NA,"base, stats, R (>= 4.2.0)","graphics, grDevices, methods, MASS, utils, boot, mvtnorm,
expm, Rcpp (>= 0.12.10), rstudioapi, Exact, gld, data.table,
readxl, httr, withr, cli","Rcpp","RDCOMClient, tcltk, VGAM, R.rsp, testthat (>= 3.0.0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.3"
"deSolve","deSolve","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.40",NA,"R (>= 3.3.0)","methods, graphics, grDevices, stats",NA,"scatterplot3d, FME",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.3.2"
"devtools","devtools","C:/Users/bdav_/AppData/Local/R/win-library/4.3","2.4.5",NA,"R (>= 3.0.2), usethis (>= 2.1.6)","cli (>= 3.3.0), desc (>= 1.4.1), ellipsis (>= 0.3.2), fs (>=
1.5.2), lifecycle (>= 1.0.1), memoise (>= 2.0.1), miniUI (>=
0.1.1.1), pkgbuild (>= 1.3.1), pkgdown (>= 2.0.6), pkgload (>=
1.3.0), profvis (>= 0.3.7), rcmdcheck (>= 1.4.0), remotes (>=
2.4.2), rlang (>= 1.0.4), roxygen2 (>= 7.2.1), rversions (>=
2.1.1), sessioninfo (>= 1.2.2), stats, testthat (>= 3.1.5),
tools, urlchecker (>= 1.0.1), utils, withr (>= 2.5.0)",NA,"BiocManager (>= 1.30.18), callr (>= 3.7.1), covr (>= 3.5.1),
curl (>= 4.3.2), digest (>= 0.6.29), DT (>= 0.23), foghorn (>=
1.4.2), gh (>= 1.3.0), gmailr (>= 1.0.1), httr (>= 1.4.3),
knitr (>= 1.39), lintr (>= 3.0.0), MASS, mockery (>= 0.4.3),
pingr (>= 2.0.1), rhub (>= 1.1.1), rmarkdown (>= 2.14),
rstudioapi (>= 0.13), spelling (>= 2.2)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.3.1"
"diagram","diagram","C:/Users/bdav_/AppData/Local/R/win-library/4.3","1.6.5",NA,"R (>= 2.01), shape","stats, graphics",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.3.0"
